# Generated Energy for each nuclear reaction type given in erg/g/s
#               time[s]              Engen(Total)                     S_src               Engen(weak)                Engen(n,g)                Engen(p,g)                Engen(a,g)                Engen(n,p)                Engen(n,a)                Engen(p,a)               Engen(fiss)
  8.52039633499740E+014     1.27258536889724E+003     1.26225016015520E+003     8.44385148625887E+002     4.31821421854889E-012     2.63303261690885E+002     7.41770934850870E+001     5.70981612258221E-018     4.33162382618584E-021     7.56162017917465E-001     0.00000000000000E+000
  9.17685086067122E+014     1.21945086141918E+003     1.20951947585974E+003     8.03405363038145E+002     4.10496820727822E-012     2.50527239367104E+002     7.05781707371871E+001     5.18032308139109E-018     4.11760336135192E-021     7.31492778073164E-001     0.00000000000000E+000
  9.83330538634505E+014     1.16098132335136E+003     1.15150065021659E+003     7.65337782683319E+002     3.90740989290503E-012     2.38659201452132E+002     6.72349785509814E+001     4.71717785726500E-018     3.91933094548941E-021     7.08291348336648E-001     0.00000000000000E+000
  1.04897599120189E+015     1.10662064142662E+003     1.09756040455111E+003     7.29912844716091E+002     3.72399169172498E-012     2.27615078380738E+002     6.41238468548177E+001     4.30995810800625E-018     3.73525306278588E-021     6.86435079054726E-001     0.00000000000000E+000
  1.11462144376927E+015     1.05599248746478E+003     1.04732506842647E+003     6.96891467104605E+002     3.55336116713487E-012     2.17320312450803E+002     6.12237819915556E+001     3.95020185183490E-018     3.56401203568976E-021     6.65814289091934E-001     0.00000000000000E+000
  1.18026689633665E+015     1.00876142560915E+003     1.00046158923213E+003     6.66061043172233E+002     3.39433048383434E-012     2.07708606429753E+002     5.85161150208621E+001     3.63098018122153E-018     3.40441538934661E-021     6.46330649972071E-001     0.00000000000000E+000
  1.24305025889932E+015     9.65553773365678E+002     9.57591590464973E+002     6.38449451546041E+002     3.25211755774398E-012     1.99100402250494E+002     5.60911227974481E+001     3.35831552943848E-018     3.26169904283574E-021     6.28678697651798E-001     0.00000000000000E+000
  1.30583362146199E+015     9.25947461969079E+002     9.18295239034256E+002     6.12519665142615E+002     3.11874057073955E-012     1.91016509550602E+002     5.38138191913689E+001     3.11331783530857E-018     3.12785239526716E-021     6.11916090165533E-001     0.00000000000000E+000
  1.36861698402465E+015     8.88727521355244E+002     8.81367346749516E+002     5.88137879622477E+002     2.99347168036929E-012     1.83415209380251E+002     5.16724547485051E+001     2.89246984199575E-018     3.00214472907870E-021     5.95979477149468E-001     0.00000000000000E+000
  1.43140034658732E+015     8.53706799583822E+002     8.46622113515995E+002     5.65183313043721E+002     2.87565810855427E-012     1.76258844141285E+002     4.96564234825997E+001     2.69278956853970E-018     2.88392068499800E-021     5.80811235982594E-001     0.00000000000000E+000
  1.50437488535305E+015     8.18148836191682E+002     8.11343480927704E+002     5.40152104112094E+002     2.74731511003060E-012     1.68455036193314E+002     4.74579900381773E+001     2.48395143724538E-018     2.75513309063170E-021     5.64077132632290E-001     0.00000000000000E+000
  1.57734942411879E+015     7.82316507242921E+002     7.75794570524323E+002     5.16747589840642E+002     2.62742849152596E-012     1.61158343371425E+002     4.54024084641627E+001     2.29691303032932E-018     2.63483372679052E-021     5.48235573864058E-001     0.00000000000000E+000
  1.65032396288452E+015     7.48789630646868E+002     7.42533579012558E+002     4.94831766301488E+002     2.51526416560715E-012     1.54325741455526E+002     4.34775603531018E+001     2.12883552120843E-018     2.52228560920714E-021     5.33219102296021E-001     0.00000000000000E+000
  1.72329850165025E+015     7.17374080725844E+002     7.11367807525959E+002     4.74280975178578E+002     2.41016720049885E-012     1.47918679276184E+002     4.16725869704228E+001     1.97732096980076E-018     2.41683122687794E-021     5.18966759883433E-001     0.00000000000000E+000
  1.79627304041599E+015     6.87895074604231E+002     6.82123763232249E+002     4.54984168565646E+002     2.31155167923764E-012     1.41902537518234E+002     3.99777368922634E+001     1.84033325237939E-018     2.31788236115030E-021     5.05423348508415E-001     0.00000000000000E+000
  1.88259251533956E+015     6.57776839924460E+002     6.52245180554278E+002     4.33641077045000E+002     2.20255285543433E-012     1.35248388603309E+002     3.81031435210064E+001     1.69468439992789E-018     2.20851750416433E-021     4.90250089421696E-001     0.00000000000000E+000
  1.96891199026313E+015     6.27288253678183E+002     6.22000925661780E+002     4.13765026135895E+002     2.10111337233103E-012     1.29051577870876E+002     3.63573853108256E+001     1.56450596162505E-018     2.10673976905898E-021     4.75923943636078E-001     0.00000000000000E+000
  2.05523146518671E+015     5.98870432100156E+002     5.93811441833485E+002     3.95224620418715E+002     2.00654655341790E-012     1.23271143943400E+002     3.47289239114582E+001     1.44775633291193E-018     2.01185981003415E-021     4.62377819418446E-001     0.00000000000000E+000
  2.14155094011028E+015     5.72340151303213E+002     5.67494876189157E+002     3.77902845616414E+002     1.91824251223203E-012     1.17870608913561E+002     3.32074837871814E+001     1.34271383011865E-018     1.92326538021843E-021     4.49551390143853E-001     0.00000000000000E+000
  2.25374167987793E+015     5.43999560819601E+002     5.39381755783004E+002     3.57040368353820E+002     1.81194648239471E-012     1.11366106839661E+002     3.13750292198751E+001     1.22131301878785E-018     1.81662251891829E-021     4.33867554935713E-001     0.00000000000000E+000
  2.36593241964558E+015     5.14380525443952E+002     5.10002765601692E+002     3.37858806529478E+002     1.71426863284245E-012     1.05385619667300E+002     2.96901963779243E+001     1.11457115819846E-018     1.71862873731014E-021     4.19201728464376E-001     0.00000000000000E+000
